Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Mouser Part Number,Digikey Part Number,Verified Pad Assignment,Verified Attributes,Digikey Description,Verified Geometry,Verified Pin Names,Centroid Not Specified,Temperature Range Low,Capacitance,Voltage,Temperature Range High,Reverse Voltage,Mfg Package Ident,Mfg Package Ident Date,Led Orientation,Ambient Temperature Range High,Forward Current,Automotive,Viewing Angle,Footprint Variant Name 0,Forward Voltage,Luminous Intensity,Mfg Package Ident Rev,Peak Emmision Wavelength,Colour,Ambient Temperature Range Low,Automotive Grade,Conn 0 Type,Verification Version,Height,Power Dissipation,Conn 1 Type,Wavelength,Device Class L1,Device Class L3,Device Class L2,Mount,Number Of Rows,Number Of Pins,Pitch,Resistance,Power,Temperature Coefficient,Ipc Land Pattern Name,Tolerance,Termination Style,Operating Temperature,Operating Force,Mechanical Life,"Actuator Height Off Pcb, From Pins",Standard Package,Outline,Switch Function,Circuit,Contact Rating @ Voltage,Imported From,Mounting Type,Actuator Material,Packaging,Actuator Orientation,Actuator Type,Illumination,Other Names,Conn 3 Type,Is Connector,Is Male,Conn 2 Type
BT1,PC BATTERY HOLDER (2) 'AAA',Keystone,2468,,BAT_HOLDER,1,534-2468,36-2468-ND,true,true,HOLDER BATTERY 2CELL AAA PC MNT,true,true,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1 C2,Chip Multilayer Ceramic Capacitors for General Purpose,Murata,GRM219R61A105KA01D,,0805 (2012 metric),2,81-GRM219R61A105KA1D,490-5760-1-ND,true,true,CAP CER 1UF 10V X5R 0805,true,true,No,-55°C,1µF,10V,+85°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,"220µF 6.3V Aluminum Electrolytic Capacitors Radial, Can - SMD 1000 Hrs @ 105°C",Panasonic,EEE-HA0J221WP,,RADIAL,1,667-EEE-HA0J221WP,PCE4161CT-ND,true,true,CAP ALUM 220UF 20% 6.3V SMD,true,true,No,-40°C,220.0µF,6.3V,+105°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1 D2 D3 D4 D5 D6,"Yellow 590nm LED Indication - Discrete 2V 2-SMD, Z-Bend",SunLED,XZM2CYK45WT-9,,PLCC2,6,,1497-1335-1-ND,false,false,LED YELLOW CLEAR 2PLCC SMD,false,false,No,-40°C,,,+85°C,5V,XZM2CYK45WT-9,0,Top View,+85°C,20mA,No,120°,Recommended_Land_Pattern,2V,447mcd,0,590nm,Yellow,-40°C,NA,passive,0.0.0.1,2.15mm,125mW,passive,590nm,Optoelectronics,unset,LEDs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1 J12,"3 pin Header, 0.1"" / 2.54mm Pitch, Through-hole, Generic",Generic,3 Pin Header,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Through-hole,1,3,"0.1"" / 2.54mm",,,,,,,,,,,,,,,,,,,,,,,,,,,
R1 R2 R3 R4,Standard Thick Film Chip Resistor,Vishay,CRCW120610K0JNEA,,1206 (3216 metric),4,71-CRCW1206J-10K-E3,541-10KECT-ND,true,true,RES SMD 10K OHM 5% 1/4W 1206,true,true,No,-55°C,,,+155°C,,CRCW1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,10kΩ,,,,,,,,,,,,,,,,,,,,,,,,,,
R5 R6 R7,GENERAL PURPOSE CHIP RESISTORS,YAGEO,RC1206JR-07220RL,,1206 (3216 metric),3,603-RC1206JR-07220RL,311-220ERCT-ND,true,true,RES SMD 220 OHM 5% 1/4W 1206,true,true,No,-55°C,,200V,+155°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220Ω,250mW,±100ppm/°C,RESC320160X55,±5%,,,,,,,,,,,,,,,,,,,,,,
SW2,Sub-Miniature Slide Switch - RIGHT ANGLE SURFACE MOUNT SPDT,C&K,JS102011SAQN,,SMT_SWITCH_9MM_3.6MM,1,611-JS102011SAQN,401-1999-1-ND,true,true,"Slide Switch SPDT Surface Mount, Right Angle",true,true,No,-40°C,,,+85°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW3,"6mm Tact Switch, Straight Termination, 160 grams actuation force",C&K,PTS645SM43SMTR92 LFS,,SW_SMT_6MM0_6MM0_TACT,1,611-PTS645SM43SMTR92,CKN9112CT-ND,true,true,Tactile Switch SPST-NO Top Actuated Surface Mount,true,true,No,-20°C,,12V,+60°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gull Wing,-20°C ~ 60°C,160gf,"100,000 Cycles",4.30mm,"1,000",6.00mm x 6.00mm,Off-Mom,SPST-NO,0.05A @ 12VDC,PartsBot,Surface Mount,"Polyamide (PA66), Nylon 6/6",Cut Tape (CT),Top Actuated,Standard,Non-Illuminated,CKN9112CT,,,,
U104,DC26 Shitty Addon Connector,#BadgeLife,Shitty Add-On,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,power,,,,passive,,,,,,,,,,,,HDRV4W64P254_2X2_500X64X457,,,,,,,,,,,,,,,,,,,,passive,yes,yes,passive
U79,WiFi Module,AI-Thinker,ESP8266 ESP-12F,,22-Castellation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
